MONUMENT_RECORD_NO,KNOWN_AS,EASTING,NORTHING,MONUMENT_TYPE,PERIOD,PERIOD_TEXT,CONSTRUCTION,DEMOLITION,STOREYS,BAYS,ROOF,EXTANT,CONDITION,CLASS,BROAD_TERM,NARROW_TERM,POSTAL_ADDRESS,LISTED_BUILDING_GRADE,LISTED_BUILDING_NO,AMENDED,MONUMENT_DESC,Location 1
450M,"128, St. Thomas Street",359143,172750,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Domestic,Dwelling,House,"12-14, St.Thomas Street",,,35326,"No.128 St. Thomas Street. Attached. Immediately on the south side of the Wool Hall. 3 storeys and attic; 1-window range; gabled front; ground and first floors jettied. Full-width pentice roofs over fronts of lower 2 storeys. lateral stack. Right-hand entrance; bay shop window. Bays at outer ends of first-floor, glazing between. At the second-floor, a central 6-light bay, flanked by cross-windows. 3-light oriel to the attic.","(51.452249, -2.5893707)"
1589M,"South possible Banqueting House, St. James Barton",359168,173619,Banqueting house,PM2,Post-medieval 1700-1900,,,,, ,0,,Recreational,Eating and drinking establishment,Banqueting house, ,,,38412,"South possible Banqueting House, St. James Barton. The building was recorded by Jean Rocque's 1742 plan of Bristol which indicates it to have been a square structure at the south-east corner of a garden on the east side of St. James Barton (BUAD 1587M).","(51.460064, -2.5891115)"
451M,"107 & 108, Temple Street",359329,172560,Houses,PM1,Post-medieval 1540-1700,,,,,Gabled fronts,0,,Domestic,Dwelling,House,"111-117, Victoria Street",,,35326,"A pair of houses. Nos.107 & 108, Temple Street. Attached. 3 storeys and attics; 1-window ranges; gabled fronts; first-floors only jettied, but string-courses or moulded beams over the first and second floors. Shared pentice roof over front of ground-floor, on 6 brackets. Entrances at outer ends. Double-height bays to the first and second floors, all Ipswich windows except first-floor of No.107, where sash front and sides. Attic windows of 6 or 8 lights. Twin-purlin sides to each roof. Lateral stacks. Blinman at No.107 in 1828.","(51.450554, -2.5866721)"
1227M,"Henry Brayne's Great House, Lower Maudlin Street",358884,173492,House,PM1,Post-medieval 1540-1700,,,,, ,0,,Domestic,Dwelling,House,"The Bus Station, Marlborough Street",,,36026,"Henry Brayne's Great House. According to the documentary record, the house was formed out of the cloister of the Benedictine priory of St. James which Brayne acquired from the Crown after the dissolution.","(51.458902, -2.5931843)"
1229M,"House with bow-front, Lewin's Mead",358798,173353,House,PM1,Post-medieval 1540-1700,,,,,Gabled front,0,,Domestic,Dwelling,House,Lewins Mead,,,36028,"The western of a pair of houses on the north side of Lewins Mead. Attached. 2 storeys and attics, with attics joined under a flat-roofed section between the gables. Gabled front; jettied; a 1-window range. Entrance at outer end; ground-floor square bays with flanking windows. One semicircular bay to each at first and second floors, each bay with 3 curved cross-windows. Flanking first-floor windows of 6 lights each to full width. All windows on this floor reach to the jetty above. Small window at left-hand of attic of left-hand property. Extensive decorative plasterwork beneath the first-floor windows, and to a lesser degree at attic level.
There is some evidence for a detached kitchen block on the Ordnance Survey 1st edition map of 1883.","(51.457646, -2.5944058)"
1230M,Langton Street Chapel,359363,172127,Chapel,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Place of worship,Chapel,"Broughton House, Somerset Street",,,36031,"Langton Street Chapel, a Wesleyan Methodist chapel which was opened in 1828. The chapel and its associated burial ground now lie in open space around the site of Broughton House. The chapel survived until at least 1951 and its remains are likely to be well preserved below ground.","(51.446663, -2.586133)"
1231M,"Burial ground, Langton Street Chapel",359341,172148,Cemetery,PM2,Post-medieval 1700-1900,,,,, ,0,,"Religious, Ritual and Funerary",Funerary site,Cemetery,"Broughton House, Somerset Street",,,36031,Burial ground of Langton Street Chapel. The burial ground seems to have opened in 1828 with the chapel. The burial ground was disused in 1951 and the site was subsequently developed for Broughton House. It is not clear if the cemetery was cleared before development but the block of flats occupies only the centre of the cemetery. There is consequently a strong likelihood that inhumations remain in situ on the site.,"(51.446851, -2.586452)"
1232M,"Gabled building, south side of Thomas Lane",359113,172746,House,PM1,Post-medieval 1540-1700,,,,,Gabled,0,,Domestic,Dwelling,House,Thomas Lane,,,36032,"A gabled, jettied building on the south side of Thomas Lane and immediately adjoining the west side of the Seven Stars public house. The building was of late seventeenth century date with a frontage of fifteen feet. The house was demolished on 29 May 1900 and was this observed by John Pritchard (BUAD 199). The building had six rooms, the largest measuring 12 feet by 10 feet by 8 feet high. Pritchard remarked on two internal fittings, ""a heavy moulded chimneypiece"" and ""upon the cupboard in a recess were ornamental wrought-iron hinges of two designs"" (Pritchard 1900, 272).
The frontage of the building is beneath Thomas Lane and the rear beneath the extant brick building which replaced it. The likely state of preservation of associated deposits is unknown but foundations and possibly  stratification may survive beneath the lane.","(51.452211, -2.5898019)"
1233M,"Gabled building, south side of Thomas Lane",359108,172743,House,PM1,Post-medieval 1540-1700,,,,,Gabled,0,,Domestic,Dwelling,House,Thomas Lane,,,36032,"A gabled, jettied building on the south side of Thomas Lane to the west of the Seven Stars public house (directly adjoining the west wall of another gabled building, 1232M). The building was of late seventeenth century date with a frontage of thirteen feet. The house was demolished on 29 May 1900 and was this observed by John Pritchard (BUAD 199).
The frontage of the building is beneath Thomas Lane and the rear beneath the extant brick building which replaced it. The likely state of preservation of associated deposits is unknown but foundations and possibly  stratification may survive beneath the lane.","(51.452184, -2.5898735)"
1234M,Preceptory of the Knights Hospitaller,359323,172745,Hospitallers preceptory,Med,Medieval 1200-1540,,,,, ,0,,"Religious, Ritual and Funerary",Preceptory,Hospitallers preceptory,Temple Street,,,36033,"The preceptory of the Knights Hospitaller, Temple Street. The preceptory was granted to the order at the beginning of the fourteenth century after the suppression of the Knights Templar, whose preceptory it had previously been.
The order was suppressed by Act of Parliament in 1540 and the site was bought by the Corporation in July 1544 for £789 17s 10d (Gairdner & Brodie, 626).","(51.452217, -2.5867798)"
1235M,"Great House, Redcliff Street",359032,172858,House,PM1,Post-medieval 1540-1700,,,,,Cross-gabled,0,,Domestic,Dwelling,House,"143, Redcliff Street",,,36033,"The Great House, Redcliff Street. The house stood on the bank of the river Avon at the west side of Bristol Bridge. A vignette in the border of Millerd's 1673 map records structure as a house of three storeys plus attic with a cross-gabled roof. A lantern is shown in the centre of the roof. There were large, apparently mullion, windows of between four- and fifteen-lights in the north face, and some of these appear from the vignette to have been oriel windows. A two-storey range ran north from the west side of the main block, forming the west side of a small courtyard on the north, riverward, side of the house. This had a covered gallery along its north side.
The Great House became a sugar refinery between 1689 and 1715, run by Isaac Hort until c.1700 and then taken over by his son Thomas (Hall 1965, 120n).","(51.453212, -2.5909805)"
1590M,"9, St. James Barton",358983,173536,House,PM1,Post-medieval 1540-1700,,,,, ,0,,Domestic,Dwelling,House, ,,,38412,"9, St. James Barton","(51.459304, -2.5917645)"
1591M,"10, St. James Barton",358988,173540,House,PM1,Post-medieval 1540-1700,,,,, ,0,,Domestic,Dwelling,House, ,,,38412,"10, St. James Barton","(51.459341, -2.591693)"
1768M,"Quarry enclosed by the Seven Sisters, Durdham Down",357130,175490,Quarry,PM1,Post-medieval 1540-1700,,,,, ,0,,Industrial,Stone extraction site,Quarry,Westbury Road,,,38625,"An infilled quarry on Durdham Downs (Darvill & Grinsell, 1989 70). The quarry is surrounded by a group of trees known as the ""seven sisters"" from a group of firs (seven originally) planted on it. It is a low mound near the tip of a minor ridge of the Downs, just outside of the old quarry area. The mound now has a flat top, about 2 feet high, 60 feet in diameter and surrounded by a shallow ditch about three feet wide.","(51.476735, -2.6186715)"
1770M,Goldenhill Farm,358324,175575,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land use site,Farm,Birchall Road,,,38625,Goldenhill Farm. The farm was demolished and built over in 1934.,"(51.477589, -2.6014903)"
1771M,Redlandgreen Farm,358027,175200,Farm,PM2,Post-medieval 1700-1900,,,,, ,0,,Agriculture and subsistence,Land use site,Farm, ,,,38625,"Redlandgreen Farm. The farm is recorded by the Westbury-on-Trym tithe survey of 1841, when the farm buildings comprised only the farmhouse. The farmhouse is extant and is located on the west side of the plot. The Ordnance Survey 1st edition map surveyed in 1880 records outbuildings to the east of the farmhouse, including a block of five pigsties or stables.","(51.474195, -2.6057219)"
1772M,Site of a dewpond (alleged pond barrow),359280,177318,Pond,PM2,Post-medieval 1700-1900,,,,, ,0,,Water Supply and Drainage,Pond,Dew pond,Tilling Road,,,38814,"Tumulus at ST59287732. An earthen basin resembling a dewpond, 20m in diameter east-west, 0.7m deep at the centre. It can never have been a robbed barrow and there are no signs of a ditch, outer banks or spoil mounds.

Tumulus dug by Bingham (SMR 801) and located by him to an OS field on the OS25"" 1881 has been identified by Jones (1946, 16n) with this basin because he used the OS25"" 1904 on which the field had been renumbered. This mistake has been followed by O'Neill & Grinsell.","(51.49333, -2.5879271)"
1774M,"Chapel of St. Werburgha, Henbury Hill",355870,178381,Chapel,Med,Medieval 1200-1540,,,,, ,0,,"Religious, Ritual and Funerary",Place of worship,Chapel, ,,,38625,"Chapel of St. Werburgha, Henbury Hill. The chapel, an appurtenance of Westbury Church, is referred to in medieval documents as being on Henbury Hill. and a reference occurs in 1299 to land in Henbury Manor beneath St.Werburgha's Hill. It has been suggested that the building excavated by Bartlett at Blaise Castle in 1918 (SMR 20457) were those of St. Werburgha's Chapel and that the dedication had later been changed to the more popular Saint Blaise, whose festival fell on the same day. Bartlett disagreed and argued that St. Werburgha's lay on a portion of Henbury Hill towards Sea Mills and the valley of the Trym, over-looking lower ground and in the parish of Westbury. A possible site is the fragment of a building revealed in 1936 near Highland Grove, Henbury Hill.","(51.502631, -2.6371753)"
